# basis
 1.00000000000 0.00000000000 0.0
-0.50000000000 0.86602540378 0.0
 0.00000000000 0.00000000000 1.0
# basis_type
Direct
# moment_name moment_size moment_angle moment_pos_1 moment_pos_2 moment_pos_3
# K1 at first pos
K1_1_1 0.16 130 0.50000000000 0.25000000000 0
K1_2_1 0.16 250 0.75000000000 0.25000000000 0
K1_3_1 0.16 370 0.75000000000 0.50000000000 0
K1_1_2 0.16 130 0.50000000000 0.75000000000 0
K1_2_2 0.16 250 0.25000000000 0.75000000000 0
K1_3_2 0.16 370 0.25000000000 0.50000000000 0
# K2
K2_1_1 0.23 158 1.00000000000 0.25000000000 0
K2_1_2 0.23 158 1.00000000000 0.75000000000 0
K2_1_3 0.23 158 0.00000000000 0.75000000000 0
K2_1_4 0.23 158 0.00000000000 0.25000000000 0
K2_2_1 0.23 278 0.25000000000 0.25000000000 0
K2_2_2 0.23 278 0.75000000000 0.75000000000 0
K2_3_1 0.23 398 0.75000000000 0.00000000000 0
K2_3_2 0.23 398 0.75000000000 1.00000000000 0
K2_3_3 0.23 398 0.25000000000 1.00000000000 0
K2_3_4 0.23 398 0.25000000000 0.00000000000 0
# I spins
I1_1   0.13 231 0.66666666667 0.33333333333 0
I1_2   0.13 231 0.33333333333 0.66666666667 0
I2_1   0.13 150 0.83333333333 0.16666666666 0
I2_2   0.13 150 0.16666666666 0.83333333333 0
I3_1   0.13 390 0.33333333333 0.16666666666 0
I3_2   0.13 390 0.66666666667 0.83333333333 0
I4_1   0.13 270 0.83333333333 0.66666666667 0
I4_2   0.13 270 0.16666666666 0.33333333333 0
